contract,args,call_1,call_2,callable_more_than_once
42d0ebea432bdaab8a01b5f728ad557f9f56bb3adf56b8d539facf4e2ecb6264.wasm,"address, address, address, address",ok,"Error(Contract, #2)",no
42d722e07d9e3af69922854bdccd62a1221d64df18b984b972f69aae30355738.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
42f8112094c963ba4450d948a90038fc88a13840b29b8909674d39db597ddd8a.wasm,"address, {address: address decimals: 883414 name: kgy symbol: n}, 376841",ok,ok,yes
433ef1c1766bec18b902cfbad2ac74371ef19600697b895ba48854155e7a7aef.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 27300",ok,"Error(Contract, #2)",no
435fd892707dbc8470e9dd0b0f71ac0688c413a4c10cf2a0d0d70d587804388b.wasm,"address, [address address address address [] address], address, bytes[32], [address address address], [983287 670127]","Error(Contract, #2001)","Error(Contract, #2001)",unknown
4386cdf222d1b98faedb5be6e8a6d65a471a27391b7611e532de09d782e56c07.wasm,"address, ","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
438a5528cff17ede6fe515f095c43c5f15727af17d006971485e52462e7e7b89.wasm,"address, address, address",ok,"Error(Contract, #3)",no
43a1cd087115c76dc880b0e07e171298b4f55dfc333c03df1b06266cf229199c.wasm,"address, 939422, d, u","Error(Contract, #605)","Error(Contract, #605)",unknown
43bdadf5027c8a675d53cc920f5cfb9d1570ef41d920cca332e7862fb61dfb15.wasm,"address, address, address, address, bytes[32], address",ok,"Error(WasmVm, InvalidAction)",no
43c74d653dbc876ce95571b36b1e2d66939bba3cc7f27de7d793254569ecdca0.wasm,"address, address, address, , 8, 944002",ok,"Error(Contract, #12)",no
43d8123c74240383636c61189d753c0cfd1980972d5b2126aa5738063bcb6c62.wasm,"address, 151556, address, bytes[32], address, bytes[65], {bytes[65]: true}",ok,"Error(Contract, #1)",no
43d961f27c617e100fe07f2a7bc8e7e6887950e6973e6c11105b093cab9380ff.wasm,address,ok,ok,yes
43f28ef9c36e5387396650beba57aa1f924acdb738f831565392e0952fa1204e.wasm,"address, address, address",ok,"Error(WasmVm, InvalidAction)",no
43f80026ed37ba7a317808ac0fb5d848877810ba0deec69afe9cd5bdbc09d4bb.wasm,"address, bytes[32], [], 635936","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
443c83cb10765e1a132bca559c26c3a60212a50a6c0cea971e91f43ac8731c32.wasm,"address, address, {icon_asset_manager:  native_address: address upgrade_authority: address xcall: address xcall_manager: address xcall_network_address: 1b6}",ok,"Error(Contract, #3)",no
44647fcfe0b51bc742d79dbf8d7e68faf644194087d7b76c158cab5af0d0abfd.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
44797e81951b6047c771a0716be2907b41680723084b113b9c17c42862bd2ba6.wasm,"address, address, address, {capital_recipient: address delayed_settlement: true fee_recipient: address min_investment: 827078 min_redemption: 317438 offer_escrow_period: 642963 origination_fee_bps: 206983 payment_token: address redemption_fee_bps: 676126 redemption_lock_period: 487656 service_fee_bps: 975301}","Error(Contract, #5)","Error(Contract, #5)",unknown
44b79808ea1ed56ce371a9afcd056ecbfc7289915d9ad458ce66fad7360fce09.wasm,"address, 7557, 251769, 420934, 774122",ok,"Error(Contract, #27)",no
44fca27f6cb647db65cb466296c51c93b0545f26c8c8c50ac5391b62608b04d9.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 945123",ok,"Error(Contract, #2)",no
453d43574d387319d477c387d6452d6862305fa0ccbcc29b0ca5b68e2f6ff87a.wasm,"address, address, address",ok,"Error(Contract, #1)",no
4543550801aa3abc720fefef77df55d0c04f227aea569e280fefe709bb63bf8a.wasm,"address, [address address address address [address address] address], address, bytes[32], [address address address], 896896, [906294 398290]","Error(Contract, #2003)","Error(Contract, #2003)",unknown
45b1f45a68523a70bc39910fb5ba1a09b0d29c04fd56841b26fa6f2535af9a2b.wasm,"void, void, address, [ ], [address], [406526 959473], [816434], {duration_days: 221142 im_apy: 154955 mature_days: 295361 pool_apy: 908563}","Error(Contract, #501)","Error(Contract, #501)",unknown
45b6f92e9044ebe2e3282744eda333ab729cf8e340e12ac878c269c18cd23ad6.wasm,"address, address, address, address, address, [address]",ok,"Error(WasmVm, InvalidAction)",no
45d1d70275fd46fd3159559f17ddf8aca5ffa02841769fc9c67688926f58d23f.wasm,"address, 754620, address, 212794, address, 577221, address","Error(Contract, #409)","Error(Contract, #409)",unknown
460c319b8b5019fa631ef22825255940ca5ea449c3e7651d2cbecf952aeb978f.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 878423",ok,"Error(Contract, #2)",no
461f06c4c0aa2069ed7c4c9fab88379a3e8e4773e5246d03c52754b9298d9311.wasm,address,ok,"Error(Contract, #1)",no
464c7cf3fb3cd426e700973c98ae63dee903e83d411491b691dad72c035dcd7d.wasm,"address, 123244, 3ie, u53","Error(Contract, #605)","Error(Contract, #605)",unknown
465482666d03a759b3a035d7ac34bc35b68c8da495341295508c88e22fe4be73.wasm,"address, address, 823764, address",ok,"Error(WasmVm, InvalidAction)",no
46cdf5a1ad8658da782bd7229f815455dd15fad5df345334596d5178bf0c5ef4.wasm,"address, l","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
46d57af43dbdb228a6eea4f2fb5144e240927109dc993e91048e7cab34e3e189.wasm,"address, address",ok,"Error(Contract, #2)",no
47d94f520bede00f21724a3fae31770142cef3567f8c0b1101abba1482363e89.wasm,"address, i, 1f",ok,"Error(WasmVm, InvalidAction)",no
486199a623c505f4a9c4c040106c359a50d9b79c4ebdeedc9e00ab8b21cc5e30.wasm,"address, bytes[32]",ok,"Error(Contract, #500)",no
4868dd213817a72db033a9f042c8ab27e80a08add7915b60c220b1a4dc267b94.wasm,"address, address, bytes[32], [address address], 24518","Error(Contract, #2002)","Error(Contract, #2002)",unknown
486eace687feaf5c54dce048e0992744c75f85881b44839d408332ab3ee7142b.wasm,"address, {alpha: bytes[64] beta: bytes[128] delta: bytes[128] gamma: bytes[128] ic: [bytes[64] bytes[64]]}",ok,"Error(Contract, #1)",no
48b28121451497952c1c35d58d4556f315a5b468ccde9fcd03f510aefa07c117.wasm,"U256(UInt256Parts { hi_hi: 0, hi_lo: 0, lo_hi: 0, lo_lo: 957701 })","Error(Contract, #21)","Error(Contract, #21)",unknown
48da9953f231476277de087172d11e0f304cbd47cd8b56f15b0c9eeedb6262c8.wasm,"address, address, address","Error(Auth, ExistingValue)","Error(Auth, ExistingValue)",unknown
494d1bfc593aa0c097407a4b0f13637b50e7dc9df31cd0ce7e4f4cbece0fd369.wasm,"address, address, 543492",ok,"Error(Contract, #410)",no
495aedd61bd946908dc481745fc91e58e6ee96796c82196da07ba58be0fd90a2.wasm,"address, address, address, address, 628962, 298660, void, 362961","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
49fad116e89f3c11b96d36adbfd3d9d31c7d6ebda1982072bec868f8ef5d0abe.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
49fb161f73fdf90476f347936bc728618e13f19401bf0a2bf311787bc1082d0c.wasm,"address, address, da, address, sk, dq1, 142353","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
4a4441814cc6beb69692b0d11fe7bf83761146d0ab98a6f06750c2f4c37a12cd.wasm,"address, address, address, 857450, 737020, 794623, 969559",ok,"Error(Contract, #1)",no
4a68ea777817e31433a248d413e64bad581c1e547fe5efe5e42d96ed21cb2b69.wasm,address,ok,"Error(Contract, #3)",no
4aa7d889845894e482539cf834a8dcc0c84534762b0f66eb99a15358f67f0912.wasm,"address, address, bytes[32]",ok,"Error(Contract, #1)",no
4ac0c23958ed4fef91e4dcdb82028afb94b68a153816d40aa62ecb9e2730975a.wasm,{admin: address asset_manager_escrow: address underlying_asset: address},ok,"Error(Contract, #10)",no
4afc62dae512229e7050c29fc3f62d65e2a2dfa0a378a60e1e62ef3a0e2cd39b.wasm,"address, 5, mnp, 958043",ok,"Error(Contract, #1)",no
4b023f8de341bb5a89a3cfd92e32779b79616984ab9659d334a08451534de73c.wasm,"address, 95h","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
4b0c394218a20a76b9bfb0671bf7a8b745b5d5573640c6ceeb91e85dd385d1c2.wasm,"address, address, {deal: bytes[32] deal_manager: bytes[32] deal_price_engine: bytes[32] deal_registry: bytes[32] investment_manager: bytes[32] payout_manager: bytes[32]}","Error(Contract, #1)","Error(Contract, #1)",unknown
4b0d1e4d709caa240ff7329892e9e02e6ab32bb39d2ad29ef19710f292133c95.wasm,"address, address, 164160",ok,"Error(Contract, #2)",no
4bccfe03a204d3086228990c6c0f83d1154c768d548975e7a1a2ea52d3cff425.wasm,"address, ",ok,"Error(Contract, #1)",no
4be7713d31bbc8fdfe201bf41f5e12616aefcb548ad484d5f2bb193678192848.wasm,"address, 881975, address",ok,"Error(Contract, #3)",no
4c3391edc0e03a736383441e624964f3bf9c5927b2e3e6f183c2ed459fb4ca1d.wasm,"address, address, address",ok,"Error(Contract, #2)",no
4c3db3ebd2d6a2ab23de1f622eaabb39501539b4611b68622ec4e47f76c4ba07.wasm,address,ok,"Error(Contract, #504)",no
4c844769c8cd12d32c337951bc47ff273311302db5ad0ac5d014793949644a54.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 322189",ok,"Error(Contract, #2)",no
4caa98eaf6d9f37b21c361e256f10a0af130bc979d08d080bdd9ee3b5a3099c2.wasm,"address, address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
4cc70fcdf4d884becaea2855f0e09ad8afd976afa630ff838de040da5e8935e4.wasm,"address, address, address, qqx, s0, 292831, 23618","Error(Storage, MissingValue)","Error(Storage, MissingValue)",unknown
4d195be2a39349df1679d06665c3d32f87837efb9d8396f6ccbb08463e180020.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
4d2fe0da6d50c0f6fd85bebacbd44a1dcca43aad1721cb7826cf5407581d21d7.wasm,"address, 381152, address, 3594, address, 348524, address","Error(Contract, #409)","Error(Contract, #409)",unknown
4d3e47757eeb0f854c8e91e9644fb619e379a73cba784c63c6c3370d1f5d9493.wasm,"address, address, address, 24176, 67230, 588613",ok,"Error(WasmVm, InvalidAction)",no
4d62697bca9ff756bb345c3e609d84b168c4a4fc88693d6d12778bb5336a3138.wasm,address,ok,"Error(Contract, #402)",no
4d70f6b16e4fc25fd20b957323431ade83ce14e2bf653a08aef9c9778cc48da6.wasm,"address, address, address",ok,"Error(Contract, #2)",no
4d7638a0453cc8acf0921487dbfe8100acfca674ae55cec8525261180e1260fc.wasm,"address, address, 546098, 38352, address, address, 468036",ok,"Error(Contract, #1)",no
4d919ea5895c7220c1a69c75c95624e5a4dda435526aa85615efebca4dbd3941.wasm,"address, address, 463687, 373908, address, address, 626570",ok,"Error(Contract, #1)",no
4dffc5c9f217b7e36e8070313fb48864f5883f432edc675b58a960b4273e36c5.wasm,address,ok,ok,yes
4e0e4932dd24fcf434236d09434c18a8f8eb8496c6f70397d823452814d3fc9f.wasm,"address, address, address, address, address",ok,"Error(Contract, #1)",no
4e2d2407db69c2c164efba6d4ca28870f3920b31df802b39b79299879b7b87ce.wasm,address,ok,"Error(Contract, #2)",no
4e66a13045bacd218e33503c0a2d0efb3aba120fcad1769fc077afb1e7cad7e1.wasm,"address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
4e74c4227bb16287e3ec5e263665f32362fb68fdb7217209b76ec99509d157c9.wasm,"address, {{issuer: address name: }: 916322 {issuer: address name: n4}: 895993 {issuer: address name: r}: 127374}, rbh, , ","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
4e77d43928874d120e8f7cd0cd985eec43534dd037f2bd32e7b847d9f7c98bbe.wasm,"address, void, address, [l t], [address], [666560], [880489 795240], [554031 794739]","Error(Contract, #501)","Error(Contract, #501)",unknown
4e86f27aa2eb3601e2692dd0ca69fde94dccdde2931e49884e8d5c95a15d8d9f.wasm,"address, address, address",ok,"Error(Contract, #1)",no
4eaeffdcff4cd9d9569fb0fb552c1ac678f0fe2c291dae2b33d33395febb7875.wasm,"address, address, 265978, 562135, address, address, 424454",ok,"Error(Contract, #1)",no
4f080d249700b9a30ca2e1bb828ecb29e47357cd36b122c7744593cef30b7a08.wasm,"address, address, bytes[32], [address address address], 528316","Error(Contract, #2001)","Error(Contract, #2001)",unknown
4f381278f79c01ea6d035165d8e8899eba9ed5429d9e1c85e41e15d627ed90ad.wasm,"bytes[32], address, address","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
4f65ea3d017844f92223bdb5a7f9a1199278fbe5da8324483dbfd215c7b273e6.wasm,"address, address, address, {decimals: 18851 id:  is_open_ended: true max_holders: 656920 metadata_uri: n token_name: n3o token_symbol: 1 total_size: 343535}","Error(Contract, #15)","Error(Contract, #15)",unknown
4fba5f018878a4131a0746a2a7545503975e5738c8486b627d21eacbe0145546.wasm,"h, og, [address address], 271253","Error(Contract, #3)","Error(Contract, #3)",unknown
4ff26fcec203061791fba2c0fff056e07387cac280fc0a7faef4e5794050b312.wasm,"address, address",ok,"Error(Contract, #2)",no
500291974b3a223677e260b060d96d4e2e3a97d43117096dd0fa5ae8fe5474eb.wasm,"address, 303179, address","Error(Contract, #100)","Error(Contract, #100)",unknown
5002b29a4c05a5260370d7d761971ce9c071a578ae2ea8de3af36669f9feddd3.wasm,"address, address, 850, 381582, address, address, 979924",ok,"Error(Contract, #1)",no
50456170a5bc40d4c129ada63f6ef4d90e20a1cf38a54eec34b7cc7ed3986048.wasm,address,ok,"Error(Contract, #2)",no
505516f749e39df90d59455912e48e64f2645fc890ea0f574f8f25452e0ce8e0.wasm,"address, address, 988274, 375185, address",ok,"Error(Contract, #1)",no
509b0364c8cf5c1de604dcbbd51f176514446bc9916d6675ef39d48869aca1d5.wasm,address,ok,"Error(Contract, #2)",no
50a4e415a7f2e851604db17e33bae36f6b8165471754c6aeb3778ea9ebe44dd4.wasm,"address, address, address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
50d34b1c5f174dafcd342d4a1282a7f5a9eb3c0b82bbc60386ea48cb6969e437.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
5159daf4d741d7b68e7100a6ba863b2d86132b540c4f97b55d433317ad627659.wasm,"address, bytes[32], [address address address], 602941, 672366, 421887","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
517b834574a4befe3390bbcbed1782984d335b2147ce969ae8b7049c8eb1ec44.wasm,"address, address, address, address, address, address","Error(Contract, #9)","Error(Contract, #9)",unknown
518aea4b541aed2c3eefc5c01456e298f5ceeb76f5c0c2480456778ad586412f.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 136219 fee_recipient: address max_allowed_slippage_bps: 702127 max_allowed_spread_bps: 684641 max_referral_bps: 264327 stake_init_info: {manager: address max_complexity: 240645 min_bond: 150364 min_reward: 629448} swap_fee_bps: 161154 token_init_info: {token_a: address token_b: address}}, address, 426401, x4n, , 894123, 44573","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
520fc09a2fe6f9371bb5634b3f09f7ac1cbfc95a5d7cbc2822e92a4c421c2851.wasm,address,ok,"Error(Contract, #3)",no
523630b74d575eaa82ce50d2ffad67c719e507578f4819ce182cbd113bdb7cc3.wasm,"address, address, 443186",ok,"Error(WasmVm, InvalidAction)",no
524c879277125d6ee6752b54a60ad59d1b348ae257f6aa5d6a1f37f795d77c89.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
524d179cd9d5dba6d6eec897559ffc50e3826a0c5de444918302ff69bbac45a2.wasm,"address, void, void, [ bj], [address address], [615706 901835], [], [547489 412520]","Error(Contract, #501)","Error(Contract, #501)",unknown
525967eab1f50eb92392895b32b443d80fb14edd14b168a05d5ca6d991d032f2.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
52973924d89af00627864ec486b4989f20521287ef80ca60738f3cb5901ca260.wasm,address,ok,"Error(Contract, #1014)",no
52d91175b20df1dd52081cf5cc17da8c01fb45e5f5d10f254e1bec43edf68853.wasm,address,ok,"Error(Contract, #2)",no
5363c6e3c37ef29dbce43bf6ac61c849f5c15f0404478f769a4e37d2b348a2f3.wasm,"address, {address: address decimals: 412865 name:  symbol: s}, 319235",ok,"Error(Contract, #31)",no
53985f16803f047fc075e9b00c763f9ff66551d21922848d7df77db7b746dd3f.wasm,"address, {address: address decimals: 334126 name: 6gs symbol: e}, 754796",ok,ok,yes
53c0c51c9d8245c9f97ec2cabea5454cc7e2e2ae1fe315edf870b96f9a43a592.wasm,"571323, 7go, 6z, address, address, 95172","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
5438f7a9df755d0fac4e85235cb3f00d4e70d6eec45b840737fe2f18453dfa70.wasm,"xo0, address",ok,"Error(Contract, #402)",no
543a5045fea758ea37e4a6ee05ff61d4b97d4113c1b9bad0428238b9a89500c1.wasm,"address, address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
545fa98265229964bde51e2a2d3dd6b9ddd942cfc1112ed9a636c4dbaf702d99.wasm,address,ok,"Error(Contract, #1014)",no
54702372e6abfdc84af590e619d72b8bf1c2fc0d0c612eb19c43d9a1ac1f46d4.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 317894 fee_recipient: address max_allowed_slippage_bps: 970454 max_allowed_spread_bps: 805137 max_referral_bps: 635624 stake_init_info: {manager: address max_complexity: 672023 min_bond: 398603 min_reward: 544452} swap_fee_bps: 511000 token_init_info: {token_a: address token_b: address}}, address, 660068, wxu, g, 631937, 732133","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
5476e9ddd17811045889f072c6e212886c0f402104013bb97f431622366c059b.wasm,address,ok,"Error(Contract, #2)",no
5476efd14f2edbaff780565fed0c33612d503daa2fa15efb21fd88ca1389a592.wasm,"address, 769987, be, b",ok,"Error(WasmVm, InvalidAction)",no
54ae3bde3cb3ab3d23fdda4aac7b3e2e08e6899fbaf28642b9764f7d000703b4.wasm,address,ok,"Error(Contract, #2)",no
55008af516d6b91df0230014987b2249b0286859fe7cff345382dc2eb6b147b0.wasm,"address, 35334, , w86","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
552024b2eb69e1db20a71a52407fa975dd737f55372b7a3cfb6ced29669805ff.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #27)",no
5564d0ba556444e5111f878391835b477eae40edf864fae1fa84d940b65efeb3.wasm,"address, 51009",ok,"Error(WasmVm, InvalidAction)",no
55b49798574989734e1173b2e62ace150d30f9787ebcbbe3224edc95a2dfaf55.wasm,"address, [{address: address paused: false protocol_id: v} {address: address paused: true protocol_id: } {address: address paused: false protocol_id: ex9}]",ok,"Error(Contract, #602)",no
55b7983a932207d4fe9a134b93fdeddfa59da3b05fe19d988874972eebeba38b.wasm,"tf6, address",ok,"Error(Contract, #402)",no
55d32eba6a003a19c8b976a1b64ffa1a69a3cea821904f290a473221af101c34.wasm,"address, address, address",ok,"Error(Contract, #1)",no
55ddf707650bbdb6c08448972866d2b508965d671c396e284c66a524d5bc0334.wasm,"address, [Stellar address], 870310, 491402",ok,"Error(WasmVm, InvalidAction)",no
55efc170d32f5c0b5d326173cab6425c9cf011f99b48506411ff9aae3913c318.wasm,"address, address, 880351",ok,"Error(Contract, #2)",no
55f2d22fd4dc238a4d3935c8d14f7f77f585b3713fdead02b931d3bbe7c1471c.wasm,"n1, tj, [address address], 35147","Error(Contract, #3)","Error(Contract, #3)",unknown
562478666d043563da4ddd84b25613a974923136eb42cd281b129b7dd01dd609.wasm,"[address address], [], [FixedSeniorYield]","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
565bf705b56cf0e6790b7734c26ced74631ce24c19e4e2f416644ebf45e744cd.wasm,"address, address, address, address, 53790, 710489",ok,ok,yes
5666c90818e5ad5f59c700f70212ff9fef512a6e5ba06330f97172bcf62915df.wasm,"address, address, address, address, 30190","Error(Contract, #9)","Error(Contract, #9)",unknown
566a9cdc5f6632efd61226765fad47e2d63cd2fb96574e96c8eedc49f1e3db15.wasm,address,ok,ok,yes
5715fbed22165e548f54fc3b1285d9d010a5fdc130cd1b619c0d336376bd2f46.wasm,address,ok,ok,yes
573b185ed8851efb48590b55b6f2bd97bd64f1890f1b8bbf20a6cf32951f4066.wasm,"{admin_fee: 717947 fee_receiver: address funds_receiver: address id: wse min_investment: 757854 name: b originator_wallet: address sbrl_token: address symbol: ta}, {admin: address operator: address}","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
5751fa12b4e51d689cee32207961f6b26cb84b51273a5de108db4e893eb21b55.wasm,"address, {address: address decimals: 42931 name: vn2 symbol: 18e}, 174270",ok,"Error(Contract, #31)",no
579fc1235e3a3d5db5726ab6cb4a5d2f64c90702a404309265b4bdef9a06b663.wasm,address,ok,"Error(Contract, #2)",no
57ab5aaf06f3fa0647ef1dd293a595588f1e5d5c091b92cedd9752d0a9483502.wasm,address,ok,"Error(Contract, #101)",no
57b9f8e3f6f3ca6def429b70572b0b27db49286f605e41feced78d3b2c26427b.wasm,"address, address, 273210",ok,"Error(Contract, #1)",no
57c7a9d243c54f1bcb65d7fb0c83b1b339b25e6f33832f04c71f8b8972400333.wasm,"address, address, address, address, address",ok,"Error(Contract, #1)",no
57cfc2d4f5990f593f9543206798aa004947dda908f07e5a4cf4f447fcc9ab14.wasm,"119003, 553466, 755321, 683331, address","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
57fafc640bd221d5fa43621db9b6cfbaeea6996902df84b0b597d20c7cfe0d1e.wasm,address,ok,"Error(Contract, #2)",no
581a6401e17ec217988954ef107b58ef09c3e6e9b3141712c2f33394191cc6dc.wasm,"address, bytes[32], address, address, j, true, address, 940146, 373671, 101010","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
582a5b626075d0a8a4a031721e0af8383a7a62640d3183dbb699f4f14120e0b8.wasm,"address, address, d, address, jeq, , 255827","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
583db66d58f32cd59925ca731ccef2f78143d3a744ae8d4c6f63ee8b16e91950.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
585ee96a14a871f2ed06085dcc1de69663a64b58a0700c3a1cd116aee84eaf32.wasm,"address, address, 333632, 215336",ok,"Error(Contract, #15)",no
58ca04ba61cdd5b393228ff135de8976c8f2c0841e7dd8e3ec21b8383d652c3e.wasm,"address, address, address, address, address, address, address, false",ok,"Error(Contract, #2)",no
58cd38e9b35df999b37877358faef5587db6d1e2eaf2d71e5f65bcacdf0c7f43.wasm,address,ok,ok,yes
58efcad74b3c8a190ebc6c3e18daa0b7ee2a268bd2331fd2a4c954fbe52951cd.wasm,"address, address, 976615","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
58f7a2be128724e708d67b9d05eab416f69b42eff53f5346ac96d34c75af0386.wasm,"n5w, , address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
591687ef484574f148f99380dcc39ccc41c217ae2fe80f67877fd24d43d60953.wasm,"address, address",ok,"Error(Contract, #410)",no
59323fdd0bcc2b41d2a0f962b5f2e10cf8a69784fa0e4d1784639630e66c9ff7.wasm,"address, bytes[32]",ok,"Error(Contract, #1)",no
596ace8b855436478512821a2e0ecb02973b1bad0a4057dc541fd0ca4d7cf037.wasm,"address, 494090, 8, ","Error(Contract, #605)","Error(Contract, #605)",unknown
59abe7b0ec5fcc8284a82e7c36662828379f3a1777995d5222ce811328b25864.wasm,"address, 441078, dpl, b","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
59f947219edeae772f46b7371151a4d07e6d09228bdc506b1913d054d9945df5.wasm,"address, bytes[32], bytes[32], bytes[32], bytes[32], 142772, address, address",ok,"Error(WasmVm, InvalidAction)",no
5a0b997df68146ed258c2d781aff3a6579cf97f8c0e7341895e5df425b28aeb8.wasm,address,ok,"Error(Contract, #3)",no
5a18396ce92fcd207d47f3efca7e17531a6801c45f8cfcd9fa1fb7bb85ea8a86.wasm,address,ok,ok,yes
5a3df1604de0ae75d29efd1e4057c827fa8813944f7ecc9b8a603e8d14ba502d.wasm,address,ok,ok,yes
5a7cd921c7a54bfe4392ccf5013adab4008296c30971b94ea58815227fb1ef0e.wasm,"address, address, 438132, 910756, address, address, 666065",ok,"Error(Contract, #1)",no
5a8560c0ea21f927a240b78f0b11504301523199429c045ebcc4d1184c611e99.wasm,address,ok,"Error(Contract, #3)",no
5a8d40377631e00cf68049d0492bbc19ef9807e26106651f3a7a4efc79fdfd5f.wasm,"address, {apy_alpha: 751292 burn_receive_percentage: 808516 burnable_percentage: 662999 dogstar_fee_percentage: 10194 haw_ai_percentage: 134621 oracle_contract_id: address power_action_fee: 412976 power_to_usdc_rate: 573445 stake_interest_percentages: [207132] stake_periods: [] terry_per_deck: 689556 terry_per_fight: 273752 terry_per_lending: 507951 terry_per_power: 294417 terry_per_stake: 324630 withdrawable_percentage: 276751 xtar_token: address}",ok,"Error(WasmVm, InvalidAction)",no
5ade24722844ae77d2266f1f3b21fc5ea71ca256149c1ee185d2e8eed6db56c7.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 2343",ok,"Error(Contract, #2)",no
5b22c9441926f69988739aa9b398321ce74e2f5efba5001434433d6d8f17d36e.wasm,"address, address, address, address, address",ok,"Error(Contract, #1)",no
5b40f7361366d795bb8b91dda623741bab310c018230a10361d2004b8b64b525.wasm,address,ok,ok,yes
5b4d43fbfc709ab0344cacb007fe3e78e7abd51767f3b7b5c53f86eabbef6518.wasm,"address, bytes[32], [address], 279929, 599620, 9468","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
5b57b11e8bb90eb4870a887cd4b272094e60221d83fd2c38a29dc8749d38f533.wasm,"address, address, , 7s9",ok,"Error(Contract, #1)",no
5b5ca5485729fdd7bf542f34e805f6e1ffb7fae443d9398dff4a7967ff72fbfa.wasm,"address, address, address, 53325, 678398",ok,"Error(Contract, #2)",no
5cd3db1eca19b2829b1b5fa2e25916062d34a4c9dabc5211618816b60c5cd8e1.wasm,"address, address, address, address, address, []",ok,"Error(WasmVm, InvalidAction)",no
5d34e7d64a95c4c9d23140de8459581345858edfa1045b3157ae6241034dedeb.wasm,"address, 620229, a3, ","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
5d69995a76fcd345f216195906a041617c603d39d735ce6117405b84cb5ddac0.wasm,"address, address, address",ok,"Error(Contract, #1)",no
5d9afb4e7c44a1cd0f5d232012c9109b917ab005ff34a5299cc7c76e8c08a851.wasm,"address, address, address, address, 475429","Error(Contract, #2)","Error(Contract, #2)",unknown
5db738b05d9148128a240b0e2c1cb935c2805192bf98a579421aacda364c8dae.wasm,"address, bytes[32]",ok,"Error(Contract, #204)",no
5dde0115b085976a1b45c4366c7b0f90364e0289c5119ce84d4fdcdadf703943.wasm,"address, address, address, address, address, bytes[32], address",ok,"Error(WasmVm, InvalidAction)",no
5df0a59c957c2fca54b672c7be2613886d88d560e3ad475e0634bac45edb9129.wasm,"address, bytes[32], address",ok,"Error(Contract, #1)",no
5e0bff5a29e2473b5289fe96aeb59b48ac335e5e87c46632b53be1f662447d2c.wasm,"address, [{paused: true protocol_id: 1 router: address} {paused: false protocol_id: 1 router: address} {paused: true protocol_id: 2 router: address}]",ok,"Error(Contract, #502)",no
