contract,args,call_1,call_2,callable_more_than_once
0439e5eb5841d8eae3e6b43e7428268397d38edbb4c2d9d09823a4b31b0c3a5a.wasm,"address, bytes[32], [], 670223","Error(Contract, #2001)","Error(Contract, #2001)",unknown
05445b0a4f2a29a6e0c791f3d9b983e1f464933e90afee365224d8fec5650987.wasm,"address, address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
0551954a584d8b48060c0c3bc584a13632d2393514b14d86e336a83124b041ef.wasm,"address, address, address, address, address, {downvote_ice_token: address govern_ice_token: address ice_token: address upvote_ice_token: address}, address, 400590",ok,"Error(Contract, #2)",no
0566a42855fac1c21402ef84e0f32625a9e3186c0a29bbbfd64c35dd7bee8a4c.wasm,"address, bytes[32], address, address",ok,"Error(Contract, #500)",no
05c05ff6ba31d8ad02b7cede524e544827473057845b9bccb0a3ca0cf23ab01c.wasm,"address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
0600a2bcb2dbb08fd576c6a9868f914d3286cd3b0b19ccdd34a8cf0ba07be8ed.wasm,"address, address, address, address, address, false, address, 673070",ok,"Error(WasmVm, InvalidAction)",no
060d10e53779b685f6b2525fc6b1fb7f491601775a6f17fab319ac15e1e9c509.wasm,"7xk, address",ok,"Error(Contract, #402)",no
063b932fb6b953a685bcb66b189b2143eda715650979095e39eb36c92ec7eaa2.wasm,"address, address, address",ok,"Error(Contract, #12)",no
0698612e5e88ff06583318777d4026698ce809e1251392915b1e4757e8f157c1.wasm,"address, address, address, address",ok,"Error(Contract, #1)",no
0745dbd5a9f85931e3b0b287b27732e46ed0daf2510518350b2eeba5c0fe8101.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
07530d5a256f8d65a450f4458351586fc2fed78107362f3f2e99936e62495dd7.wasm,address,ok,"Error(Contract, #2)",no
0770955b2d2086eee8409259be72e4ab417ef2daea7021b5184d2d1e5007cd97.wasm,"address, [address address address address [address address] address], address, bytes[32], [address address address], [361552 506575]","Error(Contract, #2001)","Error(Contract, #2001)",unknown
07bab30eb93f9d194b079a3f02ba86821ae82b9d4770a38c6b7b8524df9e284f.wasm,"address, 273747, u6l, z","Error(Contract, #605)","Error(Contract, #605)",unknown
07c291d5a72a39fdaf9266460787a665ff72988e6e4c82cf436868cdbd538864.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
07f80b9d60c6c6248ed0ab8f048529b836f6c2fbede164350fb660868c9e74b8.wasm,"address, address, address, address, 343951, void, void","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
07fb2ee6e793302bdbb5f6cfa68d8f3acc4ab13ab2a574d74eddb463d9c2bf35.wasm,address,"Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
080060264d519877bd3483f090756ec82bc5d27cef28a29e7ce00bcd3238af66.wasm,"address, address, address, address, address, address, address",ok,"Error(Contract, #1)",no
08168a26fa82d64ed906c4e6d839508f70b7ac32c02595cfe3a3e64946e53cdb.wasm,"address, address, address, address, address, 790653","Error(Contract, #5)","Error(Contract, #5)",unknown
0835edff67631f34a690899d5c4287b998611bb2138d1214a769104cb23f1459.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
086b776c75188841b6c53910a94489961f1873886eb1e92cb2bea252044554c9.wasm,"{admin: address creator: address description: 4d explicit_content: true external_link: void image: void minter: address name: x royalty_info: {payment_address: address share: 479679} start_trading_time: 503795}, false","Error(Contract, #4)","Error(Contract, #4)",unknown
08708aef565c2fcc37fd945395a79ef1e752e9f4d542761295ce791b831baca4.wasm,address,ok,"Error(Contract, #2)",no
